iter	Passed	Remaining
0	53	53312
1	79	39757
2	112	37393
3	145	36256
4	176	35126
5	209	34701
6	244	34627
7	266	33004
8	299	33011
9	324	32147
10	353	31795
11	376	31023
12	394	29920
13	413	29111
14	430	28257
15	449	27622
16	469	27127
17	491	26803
18	511	26395
19	531	26058
20	555	25891
21	582	25892
22	616	26186
23	641	26088
24	678	26467
25	735	27554
26	803	28964
27	862	29946
28	887	29711
29	909	29405
30	944	29528
31	984	29779
32	1011	29643
33	1033	29354
34	1064	29349
35	1087	29125
36	1117	29095
37	1143	28959
38	1167	28776
39	1191	28590
40	1211	28328
41	1229	28045
42	1247	27757
43	1264	27480
44	1283	27233
45	1300	26979
46	1316	26697
47	1333	26452
48	1351	26226
49	1370	26041
50	1388	25834
51	1409	25689
52	1428	25515
53	1455	25500
54	1476	25376
55	1510	25457
56	1536	25423
57	1559	25330
58	1581	25220
59	1603	25128
60	1622	24970
61	1639	24803
62	1656	24641
63	1674	24485
64	1695	24389
65	1714	24259
66	1732	24123
67	1750	23993
68	1768	23856
69	1787	23752
70	1813	23727
71	1830	23597
72	1848	23475
73	1868	23377
74	1895	23377
75	1952	23741
76	2003	24011
77	2085	24649
78	2147	25032
79	2195	25252
80	2229	25294
81	2262	25324
82	2294	25353
83	2322	25323
84	2350	25300
85	2374	25232
86	2398	25169
87	2417	25050
88	2437	24945
89	2455	24828
90	2473	24706
91	2494	24617
92	2512	24502
93	2530	24393
94	2549	24284
95	2568	24182
96	2590	24115
97	2615	24069
98	2659	24205
99	2713	24423
100	2767	24630
101	2817	24808
102	2865	24954
103	2897	24960
104	2933	25008
105	2972	25066
106	3024	25243
107	3089	25519
108	3128	25571
109	3166	25618
110	3191	25564
111	3214	25486
112	3251	25524
113	3287	25553
114	3328	25611
115	3396	25880
116	3482	26283
117	3548	26523
118	3632	26891
119	3676	26963
120	3743	27193
121	3800	27348
122	3868	27586
123	3905	27593
124	3930	27515
125	3962	27486
126	4005	27532
127	4083	27819
128	4155	28056
129	4187	28021
130	4212	27943
131	4239	27875
132	4277	27883
133	4330	27984
134	4378	28054
135	4432	28157
136	4459	28094
137	4504	28137
138	4558	28235
139	4615	28350
140	4673	28474
